no,image,manual_grade
1,8c853612-7cee-406c-a240-2362194ee1ef___YLCV_GCREC 5377.jpg,0
2,ff41930a-9bec-4841-ba1a-321e15a761a3___UF.Citrus_HLB_Lab 1475.jpg,0
3,da251dc4-1c13-4e11-ac82-9c351e776bc6___MD_Powd.M 0013.jpg,1
4,RS_Rust 2145.jpg,3
5,4397ce0e-d91f-4f96-a4c2-0d45cbd256bc___Rutg._Bact.S 1246.jpg,2
6,8ed6abab-561f-4d71-8803-2869614f4e85___FREC_Pwd.M 0585.jpg,0
7,8cdb2f1d-beb1-43e2-84f0-7d1ca8a5f6f5___MD_Powd.M 9943.jpg,0
8,44133f33-9968-41b9-bf3b-61e94c8a6bfa___RS_Late.B 5076.jpg,1
9,d47bf701-9feb-46d5-a4e6-4cf58765898f___NREC_B.Spot 9136.jpg,1
10,0c3300b6-e4ca-401c-b34b-a9bf3dfa0a57___RS_NLB 3572.jpg,2
11,e4e1b7b6-739d-4a38-b880-bac1e6c8ba16___CREC_HLB 4159.jpg,0
12,ae1c30b2-9563-4914-8ba8-b4bcb3da9d20___UF.GRC_YLCV_Lab 02019.jpg,0
13,8520e743-5c2e-425f-8df2-7a22554e6116___UMD_Powd.M 9972.jpg,0
14,eab534a7-4d44-47f6-a694-77d6b3bd7f5c___CREC_HLB 5455.jpg,0
15,7a154040-f4a1-4821-989c-d1904eaccf4d___Com.G_TgS_FL 8109.jpg,1
16,1159051e-1278-4b35-929c-e26b963d048f___GHLB_PS Leaf 8.1 Day 16.jpg,3
17,d235a8c8-d714-404b-8a07-05706d2dec29___JR_Sept.L.S 8536.jpg,2
18,1489aaa5-53aa-4825-9eb0-3c1a696a37ac___CREC_HLB 6739.jpg,0
19,a3fad4a2-1e15-4bfd-9293-56f57540b44f___JR_B.Spot 9018.jpg,2
20,0b713a79-6927-4208-b1ae-3f347ed92a55___UF.Citrus_HLB_Lab 1714.jpg,0
21,c2f37482-489b-442e-bed8-54a3486a585f___Rutg._Bact.S 1605.jpg,2
22,9b5f5c21-67da-4eb5-9625-567e22d15cbc___UF.GRC_YLCV_Lab 02254.jpg,1
23,56538c79-1b65-4ad7-97ac-5732cb43643e___YLCV_GCREC 2681.jpg,0
24,7d2eeb0b-77d8-4de5-8739-adca95edd4a2___JR_B.Spot 8946.jpg,1
25,e678d581-9909-40ab-b344-bca3f9e95e0d___UF.GRC_YLCV_Lab 03097.jpg,1
26,70e4ee54-f85e-461b-a35b-e35deb567620___Crnl_L.Mold 6516.jpg,1
27,e321a12f-3127-47f5-9f14-7388670a0599___YLCV_NREC 2677.jpg,0
28,335be291-a0f7-4b25-aa7c-99af0b073dc9___GHLB2 Leaf 8640.jpg,2
29,877bc01d-0ab2-4a8f-bbd8-44646bdb84d7___UF.GRC_BS_Lab Leaf 0529.jpg,2
30,fea8a751-5bf7-431e-9860-358e9b16a859___CREC_HLB 7511.jpg,0
31,082992fa-822f-4ae0-87bb-2d34ad94d93e___CREC_HLB 5677.jpg,0
32,ee7d5b86-6015-4bea-b881-e2487eb85805___Com.G_TgS_FL 0041.jpg,0
33,326f1d4e-e38a-4b91-8e92-31e43484e787___Com.G_TgS_FL 8394.jpg,0
34,974b2e6d-631b-4eb7-afe2-52d527d1618c___FAM_B.Rot 0670.jpg,2
35,fe34beba-a661-4164-ace3-4660d8e39c4f___RS_GLSp 4499.jpg,3
36,87e0af25-97f8-4065-9f31-661f57b894ce___FAM_B.Msls 4092.jpg,2
37,34a59579-f979-4d38-a509-8541e5cb2340___CREC_HLB 5630.jpg,0
38,4b334e82-c9f9-4a00-bb47-bc8fe159f33d___CREC_HLB 5178.jpg,1
